Name,Rank,Regiment,Date,Place,State
Albert Ekka,Lance Naik,14th Battalion The Guards,03-12-1971,Gangasagar Tripura,Bihar
Ganesh Prasad Yadav,Sepoy,16th Bihar Regiment,15-06-2020,Galwan Valley Ladakh,Bihar
Kundan Kumar,Sepoy,16th Bihar Regiment,15-06-2020,Galwan Valley Ladakh,Bihar
Deepak Kumar,Naik,16th Bihar Regiment,15-06-2020,Galwan Valley Ladakh,Bihar
Sunil Kumar,Havildar,16th Bihar Regiment,15-06-2020,Galwan Valley Ladakh,Bihar
Ritesh Ranjan Singh,Constable,CRPF,14-02-2019,Pulwama Jammu & Kashmir,Bihar
Vivek Kumar,Lance Naik,CRPF,14-02-2019,Pulwama Jammu & Kashmir,Bihar
Manoj Kumar Jha,JCO,8th Bihar Regiment,25-07-1999,Kargil Jammu & Kashmir,Bihar
Sanjeev Kumar,Captain,12th Bihar Regiment,07-08-2000,Poonch Jammu & Kashmir,Bihar
Kaustubh Prakash Kumar,Major,44th Rashtriya Rifles,16-10-2017,Bandipora Jammu & Kashmir,Bihar
Ram Sagar Prasad,Sepoy,Bihar Regiment,10-09-1965,Sialkot Sector Punjab,Bihar
Raghunath Singh,Naik,17th Bihar Regiment,05-12-1971,Shakargarh Sector Punjab,Bihar
Vijay Kumar,Havildar,Bihar Regiment,18-09-2016,Uri Jammu & Kashmir,Bihar
Bachittar Singh,Havildar,Bihar Regiment,20-09-1965,Khemkaran Sector Punjab,Bihar
Pramod Kumar,Commandant,CRPF,15-08-2016,Srinagar Jammu & Kashmir,Bihar
Krishna Mohan Singh,Sepoy,16th Bihar Regiment,08-11-2004,Poonch Jammu & Kashmir,Bihar
Dhananjay Kumar Singh,Havildar,8th Bihar Regiment,25-11-2002,Jammu & Kashmir,Bihar
Santosh Kumar Singh,Major,Bihar Regiment,10-10-2007,Poonch Jammu & Kashmir,Bihar
Anil Kumar,Lance Naik,Bihar Regiment,18-07-2001,Rajouri Jammu & Kashmir,Bihar
Amit Kumar,Sepoy,Bihar Regiment,05-09-2012,Sopore Jammu & Kashmir,Bihar
